Finished,IMC,atn_interested,atn_hostile,atn_distracted,atn_nervous,atn_enthusiastic,atn_determined,atn_excited,atn_proud,atn_upset,atn_irritable,atn_strong,atn_paperclip,atn_alert,atn_active,atn_guilty,atn_ashamed,atn_afraid,careful_check,female_clear,male_clear,female_med,female_dark,male_med,male_dark,time_firstclick,time_lastclick,time_submit,ad_describe,adrate_bad,adrate_unfavorable,adrate_lowqual,adrate_negative,adrate_unattract,adrate_useless,adrate_awful,adrate_notapprop,adrate_ineffective,adrate_unconvinc,product_unsatisfac,product_lowqual,product_bad,product_dislike,product_awful,product_negative,product_unfavorable,product_common,product_useless,product_worthless,product_notunique,product_inexpensive,model_competent,model_pushy,model_genuine,model_professional,model_credible,model_fake,model_follower,model_sincere,model_moral,model_assertive,model_charm,model_suspicious,model_peaceful,model_calm,model_subordinate,model_knowledgeable,model_sociable,model_trustworthy,model_honest,model_friendly,model_reliable,model_manipulative,model_experienced,model_respectful,model_phony,model_familiar,model_nosecret,model_mysterious,model_known,model_natural,model_notweird,model_clear,model_attract,model_classy,model_sexy,model_beautiful,model_elegant,model_warm,Q13,recommend,wtb,value_assess,ads_trust,ads_goalinform,ads_informative,ads_truthful,ads_reliablesource,ads_truepicture,ads_accuratelyinformedby,ads_essentialinfo,p_glasses,p_shade,p_pupilvis,gender,age,home_lang,english_length_nohome,wear_glasses,employment,annual_income,education,p_hypoth,Q42
1,1,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,1,,,,,,1,1,,,,,,4.69,66.809,67.649,"It's a pretty eye-catching ad, but I think it should be a bit more colorful perhaps to better capture the vision of people",2,2,4,3,3,4,3,3,4,3,3,4,4,3,3,3,3,3,3,3,4,4,6,6,6,6,5,2,4,4,5,5,5,5,5,5,4,5,5,5,5,5,5,3,5,5,2,5,7,1,4,6,7,5,6,6,4,5,5,4,1,6,4,400,2,2,2,3,2,2,2,2,1,2,4,1,28,english,25,1,1,4,6,I think it was about advertising and its attributes,1
1,,,,,,,,,,,,,1,,,,,,1,,,,,1,,0,0,49.776,The guy looks like a young urbanite. His tagline seems a little confusing and could apply to any product ad whatsoever. The picture of the product looks alright but the middle fence cutout behind the main couch looks a little weird against a white background. The description of the product is good.,3,3,3,3,3,3,3,4,3,4,2,3,2,2,2,2,2,3,2,2,3,3,5,5,5,4,5,4,4,5,4,4,6,4,5,5,4,4,6,6,5,6,5,3,4,4,5,5,4,2,4,5,5,5,5,3,1,4,2,6,1,4,3,200,3,3,2,3,3,4,3,4,1,4,5,2,51,English,,1,1,3,5,Trust in advertising. Whether the product information is more important than the presenter or presentation.,1
1,,,,,,,,,,,,,1,,,,,,1,,,1,,,,0,0,12.74,a garden furniture . nothing special! need to try it to say more about it.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,2500,5,3,3,5,5,3,5,5,1,3,3,1,43,english,,2,1,7,6,can not tell,1
1,,,,,,,,,,,,,1,,,,,,1,,,,,,1,0,0,32.945,"young man advertising all weather wicker furniture, looks nice and comfortable",2,2,2,1,2,1,2,1,2,2,1,2,1,1,1,2,2,3,1,3,4,3,5,7,6,6,6,1,4,5,6,6,6,1,6,6,4,4,6,4,5,5,5,1,4,5,3,5,3,5,4,5,6,3,4,3,3,3,2,5,1,6,3,1200,4,2,2,3,3,5,3,3,1,5,5,2,63,English,life,1,5,5,5,observing ability,1
1,,,,,,,,,,,,,1,,,,,,1,,,,1,,,0,0,55.897,"patio set, one double chair, two single chairs. A tea set for two on the table. Surrounded by a garden fence. A woman in the front with a text stating it is the right choice, because it is my choice",4,4,5,4,5,6,5,4,6,6,6,5,4,6,5,5,5,6,5,5,6,4,4,4,2,3,4,6,5,4,4,4,4,5,4,4,4,4,4,2,3,4,4,4,3,4,4,3,4,3,4,2,4,3,4,3,3,5,3,4,1,2,1,200,5,4,4,5,4,5,5,4,1,5,4,1,41,en,,2,2,3,4,perception,1
1,,,,,,,,,,,,,1,,,,,,1,,,1,,,,34.69,35.369,36.927,"A female in plaid recommending a wicker patio set with cushions, saying it's stylish and comfortable. ",5,5,6,4,6,6,6,4,6,7,4,4,4,3,3,4,4,7,3,4,6,4,2,2,1,2,1,7,6,1,4,2,1,7,4,4,4,1,3,1,1,4,2,6,2,3,7,3,3,1,3,1,3,2,4,4,1,4,3,2,1,3,6,399,5,5,5,5,5,5,5,5,1,5,5,2,28,English,,1,1,3,5,"not sure, something about advertising obviously",1
1,,,,,,,,,,,,,1,,,,,,1,,,,,1,,6.784,127.886,128.688,I saw an advertisement for outdoor wicker furniture with cushions with the setting being outside on a a patio along with a tea set on the matching table.  There was a man in sunglasses who appeared to give a positive statement about the company.,2,2,4,1,3,2,1,2,2,2,2,4,3,2,2,2,2,4,3,6,4,4,5,2,2,4,4,6,4,2,4,4,3,7,4,4,4,5,5,3,4,4,4,6,4,4,5,2,1,6,1,2,2,1,3,1,1,2,1,1,1,5,3,300,4,2,3,3,4,3,4,2,1,5,4,2,42,English,since birth,1,2,6,6,To see if people noticed the sunglasses in the ad,1
1,,,,,,,,,,,,,1,,,,,,1,,1,,,,,0,0,20.681,"A boy in a red plaid shirt stands at the fore of the ad, above his head is text that reads something along the lines of, ""It's my choice because it's the right choice."" Behind him is a set of wicker patio furniture with plush cushions. Below the furniture, and to the left of the boy's torso is text describing the comfort of the furniture. /  / In my opinion, the furniture is playing second fiddle to the boy in the ad. The viewer's focus is on him, due to his placement at the forefront of the image and his bright red shirt. The furniture, meanwhile, plays a neutral background. If one didn't read the text of the image, they probably wouldn't realize it was an ad for patio furniture.",7,6,5,4,5,6,4,2,7,7,4,4,4,4,4,4,4,4,4,4,4,4,3,6,2,1,4,5,5,5,4,3,3,4,5,5,5,4,4,4,4,6,5,3,3,4,4,3,4,1,4,4,3,4,1,1,1,1,1,1,1,4,7,149,4,3,2,3,3,5,5,5,1,1,3,2,24,English,,1,1,4,3,The effectiveness of advertising and people's opinions about it.,1
1,,,,,,,,,,,,,1,,,,,,1,,,1,,,,0,0,5.744,,6,2,4,6,2,5,3,2,7,5,5,1,4,2,7,5,3,1,3,6,5,7,6,1,2,7,5,4,2,6,1,3,6,1,6,2,6,5,2,3,7,4,5,1,3,7,5,7,2,1,5,4,7,5,5,3,1,6,2,3,1,6,3,700,3,1,2,4,2,4,3,3,1,4,3,1,27,English,,1,1,4,4,,1
1,,,,,,,,,,,,,1,,,,,,1,,,,,,1,1.978,1.978,7.926,,7,2,5,6,2,4,2,6,4,7,5,2,4,7,1,3,6,7,4,1,5,7,5,1,3,6,5,3,1,7,5,3,1,4,6,3,5,6,2,4,2,1,6,5,2,5,4,6,2,3,6,7,2,4,4,3,2,5,6,6,1,6,3,350,2,2,1,2,5,5,2,2,1,5,4,1,33,English,,2,1,3,5,,1
1,,,,,,,,,,,,,1,,,,,,1,,,,1,,,13.833,13.833,15.056,The female model wearing sunglasses though in agreement with the outdoor furniture set yet looking rather odd in the ad.  Seems like there's something to hide.,3,3,4,4,4,5,4,3,5,4,3,3,3,4,3,3,3,7,1,3,6,5,3,6,1,1,1,6,4,1,3,3,3,6,4,6,5,5,2,1,1,1,1,4,1,5,6,1,1,7,1,2,2,1,4,2,2,5,2,5,1,1,7,200,4,2,3,3,4,4,4,4,1,5,4,2,41,Cantonese & English,41,1,1,5,5,Impact from the appropriateness on portrayal of actors and actresses on advertisement leading to a positive or negative result.,1
1,,,,,,,,,,,,,1,,,,,,1,,1,,,,,0,0,4.644,"man standing on the side, i think the ad was for furniture",4,5,5,4,4,4,3,3,4,4,3,5,4,4,4,4,4,4,3,3,4,5,5,6,7,4,5,1,4,7,7,4,5,1,7,7,6,6,6,7,7,7,7,1,5,7,1,6,6,1,1,7,5,6,5,5,5,5,4,6,1,5,3,599,2,2,2,2,2,2,2,2,1,1,1,2,36,english,n/a,2,1,2,5,advertising,1
1,,,,,,,,,,,,,1,,,,,,1,1,,,,,,0,0,39.468,"A woman declaring that she made the right choice in outdoor wicker furniture, that can be used all winter.",4,4,4,3,4,3,4,1,5,5,4,4,4,4,4,4,4,3,3,5,5,4,4,4,3,4,3,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,6,1,1,7,7,4,6,5,5,5,5,4,1,1,1,350,4,4,3,4,4,4,4,3,1,3,3,1,50,English,,2,7,3,3,How much detail the viewer (me) takes in while looking at an ad.,1
1,,,,,,,,,,,,,1,,,,,,1,,,,,,1,0,0,26.7,"An ad for patio furniture, with a confident-looking man who has potentially picked out this furniture. I thought the text in the ad was awkward. The description of the furniture was adequate, but the sentence was clumsy. The quote of it being the right choice because it's his choice is odd -- I don't understand what it's supposed to convey. ",4,5,5,3,5,5,4,3,7,7,2,3,2,3,3,3,3,7,2,3,6,3,5,5,5,4,4,5,3,4,4,6,6,3,4,5,3,5,5,5,5,5,5,3,4,5,4,6,6,2,5,5,6,5,5,5,4,5,3,6,1,5,3,350,4,4,3,5,5,5,4,2,1,1,3,2,26,English,Bilingual since birth,1,7,1,5,Perceptions about advertising,1
1,,,,,,,,,,,,,1,,,,,,1,,,,1,,,23.441,23.441,24.629,"woman standing in the foreground, wearing a red/black plaid shirt and black sunglasses. she has straight brown hair. her arms are crossed over and she's smiling. in the background in a wicker patio set. a chair and a 2 seater. grey/silver in colour. there's also a coffee type table with a white tea set. underneath is lettering or wording describing the product and there's a larger catch phrase above the image in larger letters. there's a quote to the right of the lady standing, do not recall the wording though. my thoughts are - i like the furniture but for  the life of me, the woman in the ad is completley out of place. i don't understand why she's there, or the point of having her there. wearing sunglasses, hiding her face - doesn't fit with trying to sell outdoor furninture",4,4,4,3,3,3,4,4,5,5,2,3,2,2,2,3,3,4,2,4,5,4,4,5,4,1,2,5,5,4,4,4,3,4,4,6,5,4,3,4,4,5,4,4,4,4,5,2,3,5,2,1,2,2,4,2,2,4,1,4,1,5,2,249,3,2,2,2,3,3,3,3,1,5,4,2,39,english,n/a,1,4,4,2,how a person perceives advertising or what they see in advertising,1
1,,,,,,,,,,,,,1,,,,,,1,,,,,1,,0,0,20.723,The furniture looks stylish and comfortable.  Not a fan of the person in the ad though.,2,4,3,2,3,3,2,2,4,4,3,4,1,1,1,2,2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,3,3,1,5,7,4,4,5,4,4,5,5,3,4,6,5,3,6,2,4,5,3,7,2,2,1,2,2,2,1,5,3,300,3,4,4,4,4,3,4,3,1,4,3,2,33,English,,2,2,2,5,How advertisements make people feel.,1
1,,,,,,,,,,,,,1,,,,,,1,,1,,,,,0,0,9.538,"Photos of cushioned patio furniture and a young man in a checkered shirt. Quote of ""my choice, right choice"". It's an interesting set of words, but feels wrong to be describing patio furniture of all things with it.",4,5,3,2,2,4,4,4,5,4,3,2,3,4,3,2,3,4,4,4,5,4,4,3,4,4,5,4,5,3,5,4,4,3,6,6,5,4,5,4,5,6,4,4,4,5,4,4,6,1,3,6,7,6,5,3,2,4,4,5,1,4,4,250,3,3,2,3,3,1,2,1,1,1,2,2,23,English,,1,1,2,2,Ad placement,1
1,,,,,,,,,,,,,1,,,,,,1,1,,,,,,0,0,73.23,Wicker couch set. Girl with glasses and plaid shirt.,2,2,3,2,3,3,3,2,3,3,2,3,2,2,2,2,2,2,2,2,2,4,6,6,5,6,6,3,4,5,6,4,6,3,6,5,4,5,5,6,5,6,5,4,5,6,3,4,4,4,2,5,6,4,5,6,5,6,4,6,1,5,3,300,3,2,2,3,3,3,3,3,1,2,4,2,25,English,,1,3,3,2,How much you pay attention to ads.,1
1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,1,,,,,,1,,1,,,,,0,0,34.572,this ad is about stylish couch set which is all weather with plain pillows and seating.it is durable. this ad is pretty good.,3,3,3,3,3,3,2,3,3,3,3,3,3,2,2,3,3,4,3,3,4,4,6,6,6,5,6,1,4,5,5,5,4,1,5,5,4,5,5,5,5,5,5,1,4,5,1,4,4,1,4,6,7,5,4,5,3,4,5,5,1,5,3,439,2,1,1,3,3,4,2,2,1,1,3,2,29,english,,2,1,4,5,to have opinion about advertisement.,1
1,,,,,,,,,,,,,1,,,,,,1,,,,,1,,0,0,46.792,I saw a man in a plaid shirt standing in the foreground of the picture. He was smiling and had his arms folded. He detracted from the ad itself as it was as if the ad was about him and not the furniture that was being advertised. The ad was actually for wicker furniture. The furniture advert was for comfortable wicker furniture with deep seat and durable cushions good for entertaining. Although the ad was for furniture the furniture was not the focal point of the ad.,5,4,2,2,4,5,4,3,7,4,2,2,2,3,3,2,2,3,1,3,3,2,4,2,3,2,3,4,6,4,4,7,2,4,2,5,1,4,5,4,5,5,4,5,4,2,4,4,6,2,4,5,5,7,4,2,3,2,2,3,1,5,2,650,4,3,3,4,4,3,4,2,2,3,5,2,57,English,,2,4,1,4,How advertising affects the way you see things.,1
1,,,,,,,,,,,,,1,,,,,,1,,,1,,,,0,0,43.315,the ad was about a wicker patio set that is very comfortable.it came with a couch and chair with cushions.its the ladies only chose,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,7,7,7,7,7,1,2,7,7,5,6,1,6,7,3,7,7,7,7,7,7,1,6,7,1,6,7,1,2,6,7,7,6,6,6,6,5,6,1,7,1,400,2,2,1,2,1,1,1,1,1,4,3,2,56,english,,1,1,4,2,been perspective,1
1,,,,,,,,,,,,,1,,,,,,1,,,,,1,,0,0,4.164,,4,2,5,7,3,3,1,4,2,6,7,2,6,4,1,3,6,4,5,7,1,3,2,6,2,4,1,7,3,5,6,2,3,7,6,4,2,3,1,5,4,7,1,2,6,5,3,5,2,4,7,1,2,5,4,2,7,5,3,4,1,6,6,900,1,2,4,4,2,1,4,4,1,4,5,1,33,English,,2,1,4,5,,1
1,,,,,,,,,,,,,1,,,,,,1,,1,,,,,3.104,3.104,3.57,,5,4,1,5,6,3,4,7,3,2,2,5,,3,1,3,4,6,4,2,1,5,4,5,6,4,6,5,6,3,2,3,5,5,3,5,6,3,1,1,6,5,2,4,5,6,3,6,3,7,2,7,5,4,5,2,4,3,7,5,1,5,4,450,2,1,5,3,2,4,2,1,1,1,1,1,44,English,,2,1,4,5,,1
1,,,,,,,,,,,,,1,,,,,,1,1,,,,,,22.709,22.709,23.268,Stylish furniture.Doesn't show the brand.Just was described how is good to have stylish furniture.,3,3,3,2,1,3,2,2,2,2,3,2,2,3,2,2,2,3,2,2,2,2,6,5,6,6,6,3,5,6,6,6,7,6,7,6,5,7,7,7,7,7,7,3,7,7,5,6,5,3,7,7,4,7,7,7,7,7,7,7,1,7,2,900,1,1,1,2,2,1,2,2,1,2,1,1,51,English,,2,1,4,5,kind of advertisement.,1
1,,,,,,,,,,,,,1,,,,,,1,,,,,,1,4.262,135.815,152.811,"I saw an ad for wicker furniture. It showed a wicker furniture set on a wooden deck backed with a railing of white pickets. There was a tea set on the table. There was a smiling male in a red/black check shirt with arms folded at the right side. The heading indicated that the items were stylish. Further information described that this furniture is comfortable and good to entertain with. There was a quote above the male indicating that furniture is his choice. Visually the ad showed the furniture clearly. I had to read the description below the furniture twice to get it. The information did not read smoothly. The ad was okay, but not particularly exciting or memorable.",3,3,3,3,3,4,3,3,4,4,3,3,3,3,3,3,3,4,3,3,4,3,4,4,3,4,4,5,4,4,4,5,5,4,4,6,4,4,5,4,4,5,4,4,4,4,5,3,4,5,1,4,3,4,5,4,4,4,2,5,1,4,4,1200,4,3,3,3,4,4,4,4,1,3,3,2,56,English,,1,2,2,6,"Having read the final questions, my guess it is something to do with how one rates an ad and the spokesperson in it based on what one can see in their eyes. I would also comment that while I noted in the ad the person was wearing sunglasses and recalled this for the question at the end, I did not note or have a clear visual memory of the degree of shade in the glasses or whether I really saw the persons pupils.",1
1,,,,,,,,,,,,,1,,,,,,1,,,,1,,,0,0,9.655,"Lightweight plush and comfy looking furniture, they look affordable and enticing to relax in",1,1,2,2,2,1,2,1,2,2,1,1,1,1,1,1,1,3,1,2,3,5,7,7,7,6,6,2,4,6,7,4,6,1,7,7,7,6,6,7,7,7,7,1,6,7,1,6,6,1,5,7,7,7,7,6,7,7,7,7,1,6,1,200,3,4,3,3,3,3,4,3,1,1,2,1,46,english,,2,1,4,5,Advertising effects and bias/perception,1
1,,,,,,,,,,,,,1,,,,,,1,,,,1,,,0,0,28.658,The ad is about a stylish patio set. It is stylish and yet looks very comfortable and is suitable for relaxing and enjoying the outdoor in a laid back environment.,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,2,1,2,2,6,6,7,4,6,2,4,6,6,6,6,1,6,7,4,6,6,6,6,7,6,1,4,6,1,6,6,1,2,7,7,6,5,2,4,5,3,6,1,6,2,800,3,3,3,2,2,2,2,3,2,1,4,2,54,french,45 years,1,2,2,4,Evaluate how people react to advertisement ?. I honestly don't remember if the woman on the ad was wearing glasses. Best regards.,1
1,,,,,,,,,,,,,1,,,,,,1,,,1,,,,0,0,22.297,I saw a good ad about an outdoor seating set. I think its kinda weird that the person in the ad is wearing sunglasses but thats just my opinion,3,3,2,2,1,3,1,2,2,4,2,2,3,3,2,1,3,1,1,2,4,4,4,7,6,6,4,1,4,4,4,4,6,1,7,7,6,5,4,4,5,7,5,1,4,7,1,3,7,1,1,4,4,7,5,4,5,5,4,6,1,5,3,1000,4,1,1,3,2,1,3,3,1,4,3,1,20,English,,2,1,3,2,Advertisements,1
1,,,,,,,,,,,,,1,,,,,,1,,,,,,1,0,0,31.089,"The ad seems a bit stupid, the colors puts me off, but it gives quite good information about how to be okay",5,2,6,3,7,4,4,2,6,5,3,5,4,1,3,5,5,2,2,7,5,4,6,2,1,7,1,7,1,4,6,6,7,4,7,7,5,5,2,7,5,6,6,2,7,5,3,3,4,3,1,5,5,4,2,1,1,6,5,3,1,2,6,150,1,1,1,3,2,4,4,3,1,3,5,2,23,English,,2,6,1,3,advertisement review,1
1,,,,,,,,,,,,,1,,,,,,1,,1,,,,,23.338,23.338,25.056,"furniture that looks okay and a guy trying to sell it, the ad tells a lot of nice things about the object",2,6,2,2,1,7,3,4,3,3,3,6,6,1,4,4,1,4,1,4,7,5,4,6,1,1,4,4,2,1,7,7,7,6,1,3,4,6,6,7,1,7,2,2,6,4,4,5,2,6,5,2,5,6,5,7,4,6,6,6,1,5,2,110,1,3,2,2,1,1,3,3,1,2,3,1,25,english,,1,2,2,3,rating an ad,1
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,1,,,,,,1,1,,,,,,10.241,47.782,48.607,"First thing we see is the girl. Although she is beautiful, I feel that she doesn`t fit in this furniter add. The furniture is beautiful. Beige and is fitted to go outside. In general the add is good, but the girl doesn`t fit in this add. ",4,4,6,4,5,5,5,5,4,4,3,3,3,3,2,2,2,2,1,1,6,3,2,5,2,4,1,6,5,4,4,4,4,5,4,7,4,1,6,4,6,7,5,2,1,7,7,2,4,4,1,2,1,4,7,3,5,7,1,2,1,6,2,875,4,5,3,3,5,3,3,3,1,1,2,1,44,french,all my life,2,1,5,5,Marketing and advertisment,1
1,,,,,,,,,,,,,1,,,,,,1,1,,,,,,2.194,8.113,16.095,"I like the announcement, new ways and techniques for styling. Is attractive and attracts attention.",1,2,1,1,1,2,2,2,2,1,2,1,2,1,1,2,3,2,1,1,2,2,7,6,6,6,5,1,6,6,7,5,6,6,6,7,6,7,7,6,6,6,7,7,7,6,6,7,6,1,5,6,6,7,6,6,7,6,6,5,1,7,2,15,2,2,1,2,2,1,1,2,1,1,3,1,33,English,all my live,2,1,5,5,"New styles for people, and advertising for new looks",1
1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,1,,,,,,1,,,1,,,,10.292,82.502,83.61,"a woman with glasses smiling, making assumptions about furniture",2,1,6,2,6,2,2,2,2,2,2,2,1,6,5,1,6,4,1,2,6,5,5,7,7,2,6,3,7,7,2,1,6,7,4,7,7,1,3,3,6,6,6,4,1,5,4,4,1,7,6,4,1,4,5,3,4,2,5,5,1,4,3,230,2,1,1,3,3,1,3,4,1,2,2,1,20,ENGLISH,,2,6,1,3,A review of advertisement,1
1,,,,,,,,,,,,,1,,,,,,1,,,,,1,,11.127,11.127,32.595,"I saw an ad about stylish options, furniture for the outside",3,1,1,6,5,2,1,1,5,4,5,3,1,2,2,6,4,2,7,2,1,4,4,2,1,3,1,7,6,6,1,2,1,4,4,4,4,7,6,4,1,1,6,7,6,3,3,6,4,2,7,7,2,4,4,6,4,7,6,6,1,6,4,170,2,1,2,2,2,4,1,3,1,2,3,1,24,ENGLISH,,2,6,1,3,,1
1,,,,,,,,,,,,,1,,,,,,1,,,,1,,,9.27,9.27,18.912,"I find the advertisement interesting, has good design and captivates customers / ",1,2,1,1,2,2,1,4,3,2,1,2,1,2,2,1,1,2,1,1,2,1,7,7,5,5,6,2,4,4,5,5,6,5,6,6,5,6,4,5,6,4,6,5,4,5,2,5,4,2,4,3,5,6,6,5,4,5,4,3,1,5,5,700,3,2,4,3,2,3,3,3,2,3,4,2,32,english,,2,1,4,6,is very good,1
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
