"","gender","age","home_lang","english_length_nohome","wear_glasses","employment","annual_income","education","male_model","shade","clear_shade","med_shade","dark_shade","p_glasses","p_shade","p_pupilvis","ads_trust","ads_goalinform","ads_informative","ads_truthful","ads_reliablesource","ads_truepicture","ads_accuratelyinformedby","ads_essentialinfo","recommend","wtb","value_assess","model_familiar","model_nosecret","model_mysterious","model_known","model_natural","model_notweird","model_clear","model_attract","model_classy","model_sexy","model_beautiful","model_elegant","model_warm","product_unsatisfac","product_lowqual","product_bad","product_dislike","product_awful","product_negative","product_unfavorable","product_common","product_useless","product_worthless","product_notunique","product_inexpensive","ad_describe","adrate_bad","adrate_unfavorable","adrate_lowqual","adrate_negative","adrate_unattract","adrate_useless","adrate_awful","adrate_notapprop","adrate_ineffective","adrate_unconvinc","female_clear","male_clear","female_med","female_dark","male_med","male_dark","value_assess_num","phony","approachable","expertise"
"20",2,56,"English","",1,2,2,6,1,2,0,0,1,1,3,3,4,3,3,3,4,4,4,4,4,4,"1200",3,4,5,1,4,3,4,5,4,4,4,2,5,3,3,3,3,3,3,3,4,3,3,4,3,"I saw an ad for wicker furniture. It showed a wicker furniture set on a wooden deck backed with a railing of white pickets. There was a tea set on the table. There was a smiling male in a red/black check shirt with arms folded at the right side. The heading indicated that the items were stylish. Further information described that this furniture is comfortable and good to entertain with. There was a quote above the male indicating that furniture is his choice. Visually the ad showed the furniture clearly. I had to read the description below the furniture twice to get it. The information did not read smoothly. The ad was okay, but not particularly exciting or memorable.",3,3,3,3,3,4,3,3,4,4,0,0,0,0,0,1,1200,0.734506099691022,-0.340183165096074,-0.289529339198561
"21",2,54,"french","45 years",1,2,2,4,0,2,0,0,1,2,1,4,3,3,3,2,2,2,2,3,6,2,"800",6,6,1,2,7,7,6,5,2,4,5,3,6,2,1,1,2,2,1,1,1,2,1,2,2,"The ad is about a stylish patio set. It is stylish and yet looks very comfortable and is suitable for relaxing and enjoying the outdoor in a laid back environment.",1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,800,-1.43334916327024,1.0227979237407,0.240476320870766
"22",1,20,"English","",2,1,3,2,0,1,0,1,0,1,4,3,4,1,1,3,2,1,3,3,5,3,"1000",3,7,1,1,4,4,7,5,4,5,5,4,6,2,2,3,3,2,1,3,1,1,2,4,4,"I saw a good ad about an outdoor seating set. I think its kinda weird that the person in the ad is wearing sunglasses but thats just my opinion",3,3,2,2,1,3,1,2,2,4,0,0,1,0,0,0,1000,-1.21938222265381,1.33851944544917,-0.100090496845122
"23",2,23,"English","",2,6,1,3,1,2,0,0,1,1,3,5,1,1,1,3,2,4,4,3,2,6,"150",3,4,3,1,5,5,4,2,1,1,6,5,3,3,5,4,1,3,5,5,2,2,7,5,4,"The ad seems a bit stupid, the colors puts me off, but it gives quite good information about how to be okay",5,2,6,3,7,4,4,2,6,5,0,0,0,0,0,1,150,0.949676041906311,1.0536727987426,1.36454966563194
"24",1,25,"english","",1,2,2,3,1,0,1,0,0,1,2,3,1,3,2,2,1,1,3,3,5,2,"110",5,2,6,5,2,5,6,5,7,4,6,6,6,3,6,6,1,4,4,1,4,1,4,7,5,"furniture that looks okay and a guy trying to sell it, the ad tells a lot of nice things about the object",2,6,2,2,1,7,3,4,3,3,0,1,0,0,0,0,110,1.4214050801722,-2.05686657189555,0.467512977550785
"25",1,44,"french","all my life",2,1,5,5,0,0,1,0,0,1,1,2,4,5,3,3,5,3,3,3,6,2,"875",2,4,4,1,2,1,4,7,3,5,7,1,2,3,3,3,3,2,2,2,2,1,1,6,3,"First thing we see is the girl. Although she is beautiful, I feel that she doesn`t fit in this furniter add. The furniture is beautiful. Beige and is fitted to go outside. In general the add is good, but the girl doesn`t fit in this add. ",4,4,6,4,5,5,5,5,4,4,1,0,0,0,0,0,875,0.602005938826387,0.798277865076259,-1.74711534845049
"26",1,33,"English","all my live",2,1,5,5,0,0,1,0,0,1,1,3,2,2,1,2,2,1,1,2,7,2,"15",7,6,1,5,6,6,7,6,6,7,6,6,5,2,1,2,1,1,2,3,2,1,1,2,2,"I like the announcement, new ways and techniques for styling. Is attractive and attracts attention.",1,2,1,1,1,2,2,2,2,1,1,0,0,0,0,0,15,-0.517221496893602,0.975127376145264,1.81420799433811
"27",1,20,"ENGLISH","",2,6,1,3,0,1,0,1,0,1,2,2,2,1,1,3,3,1,3,4,4,3,"230",4,1,7,6,4,1,4,5,3,4,2,5,5,2,2,1,6,5,1,6,4,1,2,6,5,"a woman with glasses smiling, making assumptions about furniture",2,1,6,2,6,2,2,2,2,2,0,0,1,0,0,0,230,-0.87641010314068,0.35688102144662,-2.30666246604018
"28",1,24,"ENGLISH","",2,6,1,3,1,1,0,1,0,1,2,3,2,1,2,2,2,4,1,3,6,4,"170",6,4,2,7,7,2,4,4,6,4,7,6,6,5,3,1,2,2,6,4,2,7,2,1,4,"I saw an ad about stylish options, furniture for the outside",3,1,1,6,5,2,1,1,5,4,0,0,0,0,1,0,170,1.32768840922312,-1.58699995372344,0.224902681699117
"29",2,32,"english","",2,1,4,6,0,2,0,0,1,2,3,4,3,2,4,3,2,3,3,3,5,5,"700",5,4,2,4,3,5,6,6,5,4,5,4,3,1,2,1,2,2,1,1,2,1,1,2,1,"I find the advertisement interesting, has good design and captivates customers / ",1,2,1,1,2,2,1,4,3,2,0,0,0,1,0,0,700,-0.554008291510444,0.360395442928057,0.1209909276525
"30",2,47,"English","",1,2,2,3,0,0,1,0,0,1,3,3,3,2,2,2,2,2,2,2,6,2,"400",5,5,3,4,7,6,6,6,6,4,4,4,6,1,2,1,2,2,2,2,3,1,1,3,4,"A woman in a plaid shirt standing in front of a set of patio furniture, grey in colour.  The products were tastefully placed, the information was simple, and the ad wasn't cluttered or 'loud'",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,400,-0.618317632894499,0.127880964833979,0.518357062691786
"31",1,62,"english","all my life",1,5,3,5,0,1,0,1,0,2,1,3,4,3,3,4,4,3,4,2,6,2,"55",5,5,3,5,5,5,5,6,6,6,6,6,6,3,4,3,3,3,3,3,3,3,4,3,4,"A set a outside all weather furniture with a young lady in the picture who approve of the furniture...",2,2,2,2,2,2,2,2,2,2,0,0,1,0,0,0,55,-0.462036792150005,-0.130703672028195,0.314123609449004
"32",2,48,"english","",1,4,5,3,1,1,0,1,0,2,1,3,3,2,2,4,4,4,4,4,4,3,"499",4,2,1,4,6,7,6,5,4,4,5,4,5,2,1,2,1,1,1,1,1,2,1,3,1,"it's and advert for outdoor deck furniture, the ad says its very comfortable and stylish and durable, looks like it's a nice set would be interested in looking at in closer if it was available where I shop, the only thing that I would be worried about would be the price it looks like it would be kind of pricey.",1,1,1,1,1,2,2,2,2,2,0,0,0,0,1,0,499,-0.923550244089781,1.18489613417731,0.685110549058414
"33",1,26,"English","",2,6,1,3,0,2,0,0,1,1,4,3,3,1,1,4,4,1,5,2,6,2,"95",3,6,1,4,4,4,1,5,3,3,7,5,6,4,1,2,1,7,5,1,7,7,6,4,3,"a woman and some furniture in the back, the woman appears to be telling a story about the product",4,1,1,5,5,4,1,3,6,5,0,0,0,1,0,0,95,-0.716743977024332,-0.887968976371875,-1.010363765829
"34",2,29,"English","",1,7,5,2,0,1,0,1,0,1,5,5,5,3,3,4,5,4,4,3,4,5,"1000",3,3,4,4,3,3,4,5,4,3,4,3,2,3,4,3,2,2,4,3,5,3,4,5,4,"The furniture looks nice, and I like the shirt the woman is wearing, but for some reason I found the sunglasses extremely distracting, and out of place.  I also did not like the ""quote"" above the woman.",3,3,4,3,4,3,2,2,4,4,0,0,1,0,0,0,1000,0.61363574454131,-0.65134384129145,-0.439484196444829
"35",1,23,"Spanish","8 years",2,3,1,2,1,2,0,0,1,1,2,2,3,1,2,5,5,3,1,4,5,3,"120",4,2,2,1,5,5,5,4,7,3,4,6,6,1,2,7,6,4,3,6,6,1,1,7,4,"A guy with good looking glasses and a smile, a white shirt and red jacket",4,2,1,1,2,6,3,4,2,4,0,0,0,0,0,1,120,-0.131387082396422,-0.261005078060454,0.696645858396383
"36",1,60,"english","",2,1,3,1,1,0,1,0,0,2,1,1,4,2,3,4,4,4,4,3,5,3,"200",6,5,3,5,5,6,6,4,4,3,3,3,5,3,3,3,3,3,3,3,4,2,3,4,5,"wicker sofa , it was right to the point and i didn't need to waste any time",3,3,3,3,3,2,3,2,2,2,0,1,0,0,0,0,200,-0.384127018726327,0.514070823272629,0.076249748057767
"37",2,33,"English","",1,1,3,5,0,2,0,0,1,1,5,1,4,5,4,3,4,2,4,4,1,5,"250",3,4,2,5,5,3,6,6,4,3,6,1,3,4,5,4,4,3,3,3,6,3,6,7,6,"It's an advertisement for a wicker chair set.  It says it's the right choice because it's my choice and there is a hipster woman standing there with her arms crossed and glasses.  ",3,3,6,3,3,4,3,1,6,4,0,0,0,1,0,0,250,0.57319189942321,-0.136447887196991,-0.934099458787127
"38",1,40,"english","40",2,1,5,4,0,1,0,1,0,2,1,2,4,4,4,4,4,4,4,4,6,2,"999",6,6,4,6,6,6,6,5,5,5,6,5,5,2,2,2,2,3,2,2,2,2,2,2,3,"it looked like any other furniture ad. I saw a lady and some furniture. It was okay.",2,2,3,2,2,2,2,2,2,2,0,0,1,0,0,0,999,-0.700181891208196,0.810324791049301,1.21825756177006
"39",2,37,"English","37 years",2,2,2,3,0,0,1,0,0,1,2,2,4,3,3,3,4,3,3,3,5,3,"250",5,4,3,3,6,5,5,5,4,4,5,4,5,3,3,3,4,2,3,4,5,3,4,5,4,"I saw a wicker outdoor patio set. There was a picture of a woman wearing a plaid shirt saying this set is the right option to buy. It was a pretty basic ad with no mention of the price of the furniture set or what store this ad is for.",4,5,5,3,4,5,4,3,5,4,1,0,0,0,0,0,250,-0.0338426704485975,-0.0368885056824688,-0.380827763437609
"40",2,38,"english","",2,1,4,5,1,1,0,1,0,1,4,4,2,2,1,1,1,2,2,1,6,2,"125",5,6,3,4,5,2,5,5,6,6,5,5,6,2,2,1,1,2,2,2,2,1,3,2,4,"A guy in front of a chair, text on the left side. ",2,2,1,2,2,2,1,1,2,2,0,0,0,0,1,0,125,-0.210720146791589,0.340465654305013,0.779636533834031
"41",2,32,"french","20 years",1,1,3,5,1,2,0,0,1,1,5,5,4,5,5,4,5,5,5,4,2,6,"200",1,3,4,2,2,2,3,1,1,1,1,1,1,4,4,4,3,3,3,3,6,4,4,6,5,"a man in front that i have no idea why he is there. sunglasses that cover his eyes. a set of patio furniture in wicker with dark grey cushions. the man was irritating and did not ad to the advertisement. otherwise a cute set of chairs",6,6,6,6,6,6,6,3,7,7,0,0,0,0,0,1,200,1.76797285892707,-1.66491616499355,-1.84377778033744
"42",1,30,"english","",2,6,3,1,0,1,0,1,0,1,5,5,5,5,5,5,4,4,4,4,1,7,"600",1,3,2,2,1,1,1,2,2,2,2,2,2,4,4,4,4,3,4,4,4,4,4,4,3,"Was not impressed by the add. The girl looked out of place and not natural, the saying above her head just didn't set to mood for the ad. ",7,7,7,4,7,7,7,4,7,7,0,0,1,0,0,0,600,1.57791259487675,-1.06586280640621,-2.44389441377681
"43",2,40,"ENGLISH","",1,4,4,2,0,2,0,0,1,1,3,2,3,2,1,2,2,2,2,2,6,2,"550",7,4,5,4,7,6,5,6,7,5,6,7,6,1,1,1,1,1,2,1,1,1,2,2,3,"i SAW NICE WICKER SEATING WITH NICE CUSHIONS AND A LADY WEARING SUN GLASSES. IT LOOK GREAT .",1,1,1,2,1,2,1,1,1,1,0,0,0,1,0,0,550,-0.821534013315096,1.33589872630571,1.33971002596958
"44",2,45,"English","",2,1,6,4,1,2,0,0,1,1,4,4,2,1,2,2,2,2,2,2,7,1,"500",6,6,2,6,7,7,6,7,6,4,5,4,7,1,1,2,2,1,2,2,2,1,2,1,2,"A man with sunglasses on, standing with his arms folded in front of a 4 piece wicker set",1,1,2,1,1,2,2,2,3,2,0,0,0,0,0,1,500,-1.74864949727758,1.05736361708152,0.911714788128715
"45",1,47,"English","",1,1,6,4,1,0,1,0,0,1,2,4,4,4,2,3,2,4,3,4,6,4,"595",3,6,3,1,3,3,5,2,2,1,1,1,1,1,2,1,2,1,1,1,3,1,1,4,2,"A man with arms crossed says ""It is my choice because it is the right chose"".  This is a bit confusing or awkward.  The ad is about outdoor patio furniture that is comfortable and of high quality.",3,3,3,2,2,2,2,3,3,3,0,1,0,0,0,0,595,1.24979199693304,-1.79337122462949,-0.214799655021191
"46",2,38,"English","",1,1,4,5,0,1,0,1,0,1,5,5,4,3,3,3,4,4,3,2,5,4,"600",6,5,3,5,5,4,5,5,3,4,4,3,5,2,3,3,3,3,3,3,4,1,3,5,4,"Ad for wicker patio furniture featuring a young woman wearing a plaid shirt and sunglasses.",5,4,4,4,4,3,3,3,4,4,0,0,1,0,0,0,600,-0.103355369046687,0.399673183552028,-0.349470743447264
"47",1,21,"English","",1,6,1,3,1,1,0,1,0,1,4,3,4,4,4,4,5,3,4,3,1,6,"250",2,4,4,3,4,2,4,2,1,1,2,1,2,3,3,3,3,3,3,3,3,3,3,1,4,"There is a man with transition lens sunglasses standing in front of an image of wicker chairs. He says that it is ""[his] choice, because it is the right choice"" of chairs. ",6,4,7,3,5,4,4,4,6,5,0,0,0,0,1,0,250,0.807548730034971,0.365983312137262,-0.978506947806571
"48",2,30,"english","",2,2,3,5,1,1,0,1,0,1,2,3,2,1,1,2,1,2,2,2,5,3,"180",5,7,1,5,5,7,7,5,5,4,3,4,5,1,2,2,2,4,2,2,3,2,3,3,3,"it is an ad for out door furniture with a man showing an outdoor sofa with cushions telling that it is a right choice what you like",2,3,3,2,3,3,3,2,3,4,0,0,0,0,1,0,180,-1.31104690720089,1.47814110835866,0.105754676106091
"49",2,52,"English","",2,1,4,2,0,2,0,0,1,2,1,5,3,2,2,3,3,3,3,3,7,1,"1600",4,1,1,1,7,7,7,7,7,4,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,"It's an ad for outdoor furniture.  It shows a woman and quotes her as saying that this is her choice because it's the right choice.",2,2,2,2,1,1,1,1,1,1,0,0,0,1,0,0,1600,-1.93207424434321,1.57180037055538,0.339869620796275
"50",2,24,"english","",1,1,3,5,0,1,0,1,0,1,2,2,2,2,2,2,1,1,3,3,6,2,"500",6,6,5,3,5,4,5,5,5,6,5,6,5,3,4,2,3,3,4,3,3,4,3,3,4,"A woman is advertising a set of patio furniture with some of the details ",3,3,4,2,2,3,2,3,3,3,0,0,1,0,0,0,500,-0.920907329748906,0.0217492692696602,0.813795138109113
"51",1,37,"English","",1,7,1,5,1,0,1,0,0,2,1,1,3,3,2,2,3,3,2,4,7,2,"552",6,5,4,4,5,6,6,6,5,4,5,7,6,1,2,2,1,1,2,2,3,2,3,2,2,"I saw an advertisement about outdoor seating and a person being happy about this selection.  The ad makes you want to buy this product.",3,2,2,2,3,3,2,2,1,1,0,1,0,0,0,0,552,-0.156755951121571,0.959554145529415,0.370498221963061
"52",2,55,"english","",1,1,4,3,0,1,0,1,0,2,1,1,4,2,2,3,3,3,3,2,4,4,"400",3,5,3,5,6,4,6,7,5,5,6,3,5,3,3,2,2,2,1,1,3,1,3,3,3,"attractive furniture, pretty model, but she is dressed very casually, I wouldnt have expected flannel. ",2,2,3,2,1,1,2,3,2,2,0,0,1,0,0,0,400,-0.261768931562123,-0.613773526406266,-0.540351001587866
"53",2,47,"English","",1,1,6,5,0,2,0,0,1,1,4,5,4,2,4,3,2,4,4,4,6,4,"600",1,2,5,1,1,1,1,6,1,2,5,1,2,2,3,2,2,2,2,2,4,1,2,5,2,"A woman in a plaid shirt with sunglasses on extolls the advantages of a wicker patio set.  The set is said to be comfy and durable.",5,5,6,4,5,4,4,7,7,6,0,0,0,1,0,0,600,1.76878949322381,-0.389222080238638,-2.0728383257323
"54",2,32,"English","",1,1,6,5,1,2,0,0,1,1,5,4,4,4,3,4,4,4,3,2,3,5,"600",2,6,2,2,2,4,2,6,4,4,5,3,4,3,5,4,4,4,4,5,6,5,5,5,2,"I have never seen this. But it doesn't really make sense. The man in the ad didn't seem to fit the profile of one who is excited about a wicker set.",6,6,7,6,4,6,6,5,6,6,0,0,0,0,0,1,600,1.16781268842703,0.723643831216266,-1.55731176812742
"55",1,29,"English","",1,1,2,4,1,1,0,1,0,1,2,2,1,5,5,1,2,2,5,3,4,4,"200",3,7,6,6,1,5,5,5,3,3,5,6,3,5,1,7,6,1,1,1,7,3,3,6,6,"A man enjoying what he says about life and the product on his back",5,5,4,2,1,2,6,2,5,4,0,0,0,0,1,0,200,0.579307089627709,-1.16314129417661,0.828784975459651
"56",1,22,"english","",2,2,1,3,0,0,1,0,0,1,1,1,4,2,2,5,4,1,4,3,5,6,"260",5,3,2,7,6,4,6,5,2,2,7,6,5,6,2,6,1,4,3,4,4,1,7,2,4,"A woman dressed up like she was taking sun advertising furniture for the garden",3,1,2,1,5,2,4,4,2,3,1,0,0,0,0,0,260,-0.282837396875672,-1.36902784892367,0.438553454343908
"57",2,47,"english","",2,1,3,5,0,1,0,1,0,1,5,5,3,3,3,2,3,2,3,2,5,3,"250",3,4,3,3,4,4,3,4,3,3,4,3,4,4,4,3,3,3,3,3,5,4,4,5,5,"There is wicker furniture and a woman in a plaid shirt with really dark glasses, she seems out of place with what the ad is for",4,4,4,4,4,4,4,4,5,5,0,0,1,0,0,0,250,0.398426782154318,-0.978454462738429,-0.521367292442867
